시가총액	상장주식수	액면가	매매단위	외국인한도주식수	외국인보유주식수	외국인소진율	투자의견	목표주가	PER_202009	EPS_202009	추정PER	추정EPS	PBR_202009	BPS_202009	배당수익률	동일업종PER	동일업종등락률
"15조 4,756"	77377800	500	1	77377800	9178281	11.86	3.92	237083	29.52	6774	33.31	6004	2.34	85588	NA	25.31	1.67
"2조 6,656"	196000000	5000	1	196000000	48381698	24.68	3.83	16083	10.44	1303	9.75	1395	1.71	7942	NA	7.42	4.06
"15조 4,616"	74693696	5000	1	74693696	26514057	35.5	4	210150	42.41	4881	27.08	7644	2.78	74428	NA	61.85	3.56
"519조 3,711"	5969782550	100	1	5969782550	3313900306	55.51	4	102040	23.76	3662	16.77	5189	2.21	39446	NA	21.24	2.04
"5,447"	61549713	500	1	61549713	2564988	4.17	NA	NA	NA	-182	NA	NA	4.08	2171	NA	99.27	0.31
"4조 3,155"	630000000	5000	1	630000000	96272872	15.28	3.17	6709	NA	-1983	-4.65	-1474	0.93	7335	NA	-22.81	0.98
"3조 7,417"	89300000	5000	1	89300000	23426482	26.23	4	50571	7.96	5267	7.35	5704	0.72	58223	NA	6.3	2.81
"2,355"	10000000	500	1	10000000	73321	0.73	NA	NA	65.24	361	NA	NA	2.54	9273	NA	4.15	0.69
"3조 7,886"	115858891	5000	1	115858891	12344381	10.65	4	41278	9.19	3557	9.58	3412	0.49	66088	NA	9.05	1.55
"8조 6,696"	47374837	500	1	47374837	21162136	44.67	4	255786	13.38	13677	11.94	15326	0.51	357348	NA	7.1	0.65
"1,386"	11000000	500	1	11000000	3618073	32.89	NA	NA	36.63	344	NA	NA	1.26	10018	NA	21.46	3.4
"6,363"	10313449	5000	1	10313449	435011	4.22	NA	NA	10.78	5726	NA	NA	0.54	114833	NA	27.45	1.17
"7,450"	7533015	5000	1	7533015	670345	8.9	4	155000	9.77	10119	9.19	10763	2.2	45029	NA	27.45	1.17
"1,956"	3000000	5000	1	3000000	162054	5.4	NA	NA	4.31	15118	NA	NA	0.52	124625	NA	30.14	2.17
"2,977"	14209804	5000	1	14209804	1792809	12.62	4	30000	7.35	2849	NA	NA	0.96	21807	NA	14.27	2.38
"7,083"	8564271	5000	1	8564271	691204	8.07	NA	NA	17.25	4793	NA	NA	0.44	188938	NA	27.45	1.17
"2,585"	18466948	500	1	18466948	3679787	19.93	NA	NA	8	1749	NA	NA	0.66	21180	NA	63.27	3.47
"2,020"	20000000	500	1	20000000	8905125	44.53	4	13000	18.3	552	NA	NA	0.41	24633	NA	189.41	3.74
"1,080"	34000000	500	1	34000000	1383330	4.07	NA	NA	352.78	9	NA	NA	2.42	1312	NA	63.27	3.47
"1,094"	40000000	500	1	40000000	282617	0.71	NA	NA	14.47	189	NA	NA	0.51	5330	NA	43.41	4.89
"2,373"	21000000	500	1	21000000	7309347	34.81	NA	NA	36.93	306	NA	NA	1.24	9121	NA	-30.14	2.68
"1,376"	90530915	500	1	90530915	2301133	2.54	NA	NA	253.33	6	NA	NA	0.56	2703	NA	-33.39	1.16
"1,795"	12731947	1000	1	12731947	178915	1.41	NA	NA	NA	-68	NA	NA	0.65	21798	NA	34.12	4.45
"1,369"	6694896	1000	1	6694896	136290	2.04	NA	NA	142.01	144	NA	NA	1.92	10662	NA	99.27	0.31
750	2499971	5000	1	2499971	95454	3.82	NA	NA	3.11	9632	NA	NA	0.36	83780	NA	14.35	1.12
"3,551"	13900000	1000	1	13900000	2470170	17.77	3	30000	14.59	1751	NA	NA	1.5	17081	NA	99.27	0.31
"3,313"	4055025	5000	1	4055025	678357	16.73	3.5	90000	26.88	3040	NA	NA	0.22	375991	NA	19.16	1.29
"1,138"	25000000	500	1	25000000	1715396	6.86	NA	NA	6.63	686	NA	NA	0.54	8447	NA	7.42	4.06
831	2154379	5000	1	2154379	169109	7.85	NA	NA	56.44	683	NA	NA	0.5	77804	NA	14.27	2.38
"1,630"	6613820	1000	1	6613820	1633135	24.69	NA	NA	143.31	172	NA	NA	3.51	7023	NA	189.41	3.74
414	10457940	1000	1	10457940	998044	9.54	NA	NA	NA	-370	NA	NA	3.97	997	NA	61.85	3.56
"7,931"	10395000	1000	1	10395000	1335653	12.85	4	88000	37.48	2036	NA	NA	4.57	16685	NA	189.41	3.74
"3,298"	26814737	500	1	26814737	2626791	9.8	NA	NA	56.94	216	NA	NA	0.97	12690	NA	34.12	4.45
"1,129"	96108437	1000	1	96108437	337125	0.35	NA	NA	20.98	56	NA	NA	0.67	1765	NA	6.3	2.81
774	21471450	500	1	21471450	404383	1.88	NA	NA	NA	-228	NA	NA	0.44	8250	1.39	43.41	4.89
"1,210"	19200000	500	1	19200000	13148226	68.48	NA	NA	NA	-242	NA	NA	0.56	11271	NA	43.41	4.89
"1,472"	2875800	1000	1	2875800	166946	5.81	NA	NA	8.09	6325	NA	NA	0.64	80113	NA	27.45	1.17
"2,435"	4568286	500	1	4568286	246733	5.4	NA	NA	6.41	8317	NA	NA	1.28	41691	NA	27.45	1.17
"2,162"	23479844	500	1	23479844	0	0	NA	NA	NA	-2190	NA	NA	0.47	19642	NA	43.41	4.89
"2,124"	27028437	500	1	27028437	2286311	8.46	NA	NA	NA	-3318	NA	NA	0.34	22814	NA	43.41	4.89
"4,480"	5000000	5000	1	5000000	369306	7.39	NA	NA	3.26	27470	NA	NA	0.32	280803	NA	19.16	1.29
753	362085308	100	1	362085308	12432821	3.43	NA	NA	NA	-4	NA	NA	2.85	73	NA	27.45	1.17
"1,139"	47474590	500	1	47474590	1046331	2.2	NA	NA	NA	-20	NA	NA	1.07	2249	NA	21.46	3.4
"6,305"	11569113	500	1	11569113	1537289	13.29	4	73250	13.78	3954	12.54	4346	1.82	29950	NA	37.84	-0.54
583	18000000	500	1	18000000	509972	2.83	NA	NA	21.74	149	NA	NA	0.67	4812	NA	-216.96	3.18
"3,436"	23779604	500	1	23779604	3308027	13.91	NA	NA	4.71	3070	NA	NA	0.91	15917	NA	27.45	1.17
584	12607989	1000	1	12607989	96303	0.76	NA	NA	NA	-1400	NA	NA	0.25	18292	NA	39.21	4.04
386	19486857	500	1	19486857	593754	3.05	NA	NA	NA	-43	NA	NA	1.37	1444	NA	189.41	3.74
941	20020000	500	1	20020000	149813	0.75	NA	NA	NA	-85	NA	NA	0.63	7464	NA	63.27	3.47
"2,057"	24516073	5000	1	24516073	2011816	8.21	3	7000	59.93	140	NA	NA	0.53	15734	NA	34.12	4.45
370	56857860	500	1	56857860	163746	0.29	NA	NA	NA	-378	NA	NA	0.7	936	NA	30.14	2.17
"1,545"	69751600	500	1	69751600	1797665	2.58	NA	NA	123.06	18	NA	NA	0.27	8191	NA	39.21	4.04
251	407592	5000	1	407592	3765	0.92	NA	NA	NA	-2826	NA	NA	1.18	52320	NA	-18.79	3.6
"2,877"	19308690	500	1	19308690	729899	3.78	NA	NA	143.27	104	NA	NA	0.39	37933	NA	11.67	3.18
"1조 3,818"	14000000	500	1	14000000	3686090	26.33	NA	NA	18.7	5279	NA	NA	1.2	82357	NA	43.41	4.89
"4,214"	35862119	5000	1	35862119	3658966	10.2	4	13500	NA	-51	60.88	193	0.22	52693	NA	41.1	2.67
"2,788"	2836300	5000	1	2836300	181137	6.39	4	112500	10.04	9787	NA	NA	0.46	213981	NA	41.1	2.67
"1,905"	4141657	5000	1	4141657	161021	3.89	NA	NA	NA	-1812	NA	NA	0.18	249662	NA	41.1	2.67
964	8570000	5000	1	8570000	192571	2.25	NA	NA	NA	-432	NA	NA	0.31	36270	NA	41.1	2.67
"3,000"	4000000	5000	1	4000000	27117	0.68	NA	NA	38.78	1934	NA	NA	0.15	510604	NA	41.1	2.67
917	28705031	500	1	28705031	721408	2.51	NA	NA	26.85	119	NA	NA	2.1	1522	NA	-13.5	0.3
"2,132"	69223286	500	1	69223286	1317303	1.9	NA	NA	NA	-80	NA	NA	1.08	2851	NA	-12.33	4.48
809	10000000	500	1	10000000	1492145	14.92	NA	NA	5.42	1492	NA	NA	0.19	42361	0.31	43.41	4.89
"1,272"	41040895	1000	1	41040895	3850915	9.38	NA	NA	10.33	300	NA	NA	0.26	12057	NA	-27.68	2
"2,846"	27765096	500	1	27765096	365220	1.32	NA	NA	NA	-737	NA	NA	0.69	14858	NA	43.41	4.89
"3,462"	56849456	500	1	56849456	182356	0.32	4	9275	358.24	17	16.78	363	2.18	2792	2.46	-22.81	0.98
"1,030"	57562997	1000	1	57562997	172469	0.3	NA	NA	4.17	429	NA	NA	1.21	1482	NA	14.27	2.38
879	151569422	500	1	151569422	1213947	0.8	NA	NA	NA	-161	NA	NA	1.14	509	NA	43.41	4.89
"2,755"	8610000	500	1	8610000	15414	0.18	NA	NA	40.92	782	NA	NA	2.78	11524	NA	43.41	4.89
"1,054"	10695682	500	1	10695682	6665753	62.32	NA	NA	NA	-1407	NA	NA	19.9	495	NA	-35.57	-0.05
"42조 1,868"	134997805	1000	1	134997805	27548124	20.41	3.92	372348	84.46	3700	72.25	4325	13.18	23717	NA	99.27	0.31
"1조 5,601"	30589758	100	1	30589758	2899131	9.48	4	48167	147.4	346	95.51	534	13	3923	NA	61.85	3.56
"3,888"	24000000	500	1	24000000	4522790	18.84	4	19000	12.72	1274	NA	NA	0.86	18854	NA	63.27	3.47
"2,505"	53985163	500	1	53985163	221192	0.41	NA	NA	4640	1	NA	NA	2.32	2001	NA	-30.14	2.68
"1,088"	2000000	500	1	2000000	18891	0.94	NA	NA	7.7	7067	NA	NA	2.07	26235	NA	21.31	0.98
"2,563"	4029782	5000	1	4029782	367827	9.13	NA	NA	5.35	11885	NA	NA	0.54	117685	NA	14.27	2.38
"2,545"	10080029	5000	1	10080029	1896442	18.81	NA	NA	NA	-1011	NA	NA	0.29	86952	NA	-25.13	-0.59
"1,530"	16000000	500	1	16000000	543385	3.4	NA	NA	164.83	58	NA	NA	0.29	32512	NA	27.45	1.17
"7,191"	201433941	500	1	201433941	6197130	3.08	NA	NA	55.78	64	NA	NA	3.88	921	NA	21.24	2.04
"2,328"	143708390	500	1	143708390	1127885	0.78	NA	NA	67.5	24	NA	NA	1	1622	NA	30.14	2.17
"2조 3,973"	9845181	5000	1	9845181	2403724	24.42	4	293286	NA	-31123	-48.12	-5060	0.71	343130	NA	-27.68	2
"2,288"	1720000	5000	1	1720000	70135	4.08	4	160000	3.55	37477	NA	NA	0.77	172763	NA	25.31	1.67
"2,380"	4000000	5000	1	4000000	114583	2.86	NA	NA	24.46	2433	NA	NA	1.2	49698	NA	7.42	4.06
"1조 2,209"	7140000	5000	1	7140000	348447	4.88	4	199333	27.08	6315	30.36	5632	1.98	86264	NA	30.14	2.17
"2,536"	3872480	5000	1	3872480	86392	2.23	4	76000	NA	-1840	-207.28	-316	0.82	79988	NA	-25.11	1.1
485	11828858	500	1	11828858	82485	0.7	NA	NA	NA	-2514	NA	NA	0.51	8079	NA	121.21	1.77
896	900000	5000	1	900000	235496	26.17	NA	NA	13.34	7456	NA	NA	0.29	348729	NA	30.14	2.17
"5,125"	9386237	5000	1	9386237	692133	7.37	NA	NA	11.63	4693	NA	NA	0.37	148270	4.58	6.3	2.81
"1,331"	85042499	500	1	85042499	1982462	2.33	NA	NA	NA	-42	NA	NA	0.58	2688	NA	30.14	2.17
"1,428"	71047521	500	1	71047521	2854289	4.02	NA	NA	28.71	70	NA	NA	1.91	1054	NA	15.56	1.05
